Actor1,Actor2,Actor3,Actor4,Director,Producer,Music,Outcome
Akshay Kumar,Lisa Haydon,Anupam Kher,Annu Kapoor,Abhishek Sharma,Murad Khetani,Yo Yo Honey Singh,3
Sunny Deol,Bobby Deol,Dharmendra,Annu Kapoor,Sangeeth Sivan,Dharmendra,SharibToshi,3
Annu Kapoor,Ayushman Khurana,Yami Gautam,Dolly Ahluwalia,Shoojit Sircar,Sunil A Lulla,Abhishek Verma,4
Akshaye Khanna,Shriya Saran,Mugdha Godse,Annu Kapoor,Rumi Jaffery,Nitin Manmohan,Anu Malik,1
Akshay Kumar,Tapsee Pannu,Rana Daggubati,Murli Sharma,Neeraj Pandey,Bhushan Kumar,Meet Bros Anjjan,4
Bhanu Uday,Swara Bhaskar,Murli Sharma,Hemant Pandey,Debaloy Dey,Rajneet Jain,Amit Mishra,1
Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,Murli Sharma,Umesh Bist,Atul Agnihotri,Hard Kaur,3
Riya Sen,Veena Malik,Rajpal Yadav,Murli Sharma,Rajiv S Ruia,Veeraj Kumar,Vivek Kar,1
Ruslaan Mumtaz,Chetna Pande,Murli Sharma,Ragesh Asthana,Amit Kasaria,Anil Kumar Sharma,AmanBenson,2
Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapur,Hussain Dalal,Ayan Mukerji,Karan Johar,Pritam Chakraborty,4
Arjun Kapoor,Alia Bhatt,Revathi,Hussain Dalal,Abhishek Varman,Karan Johar,Shankar-Ehsaan-Loy,4
Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh,Hussain Dalal,Akkineni Akshay,Siddharth Roy Kapur,Saurabh Kalsi,1
Saif Ali Khan,Ileana Dcruz,Govinda,Kalki Koechlin,Raj Nidimoru,Dinesh Vijan,SachinJigar,3
Chandan Roy Sanyal,Gulshan Devaiah,Kalki Koechlin,Elena Kazan,Ashish Shukla,Rohit Khaitan,Atif Afzal,1
Emraan Hashmi,Abhay Deol,Supriya Pathak,Kalki Koechlin,Dibakar Banerjee,Dibakar Banerjee,VishalShekhar,2
Prateik Babbar,Kalki Koechlin,Manisha Koirala,Naseeruddin Shah,Raghav Dar,Sanjay Leela Bhansali,AjayAtul,2
Kalki Koechlin,Naseeruddin Shah,Shiv Subramaniyam,Divya Jagdale,Anurag Kashyap,Anurag Kashyap,Naren Chandavarkar,3
Amitabh Bachchan,Jiah Khan,Aftab Shivdasani,Revathi,Ram Gopal Varma,Ram Gopal Varma,Vishal Bhardwaj,3
Amitabh Bachchan,Revathi,Karan Sharma,Bhoomika Chawla,Romesh Sharma,Romesh Sharma,Shankar-Ehsaan-Loy,2
Nana Patekar,Revathi,Nakul Vaid,Yashpal Sharma,Shimit Amin,Ram Gopal Varma,SalimSulaiman,1
Om Puri,Revathi,Gul Panag,Yashpal Sharma,Ashwini Chaudhary,Parth Arora,Lalit Sen,1
Salman Khan,Revathi,Reeta Bhaduri,Shafi Inamdar,Suresh Krishna,Shyam Bajaj,AnandMilind,1
Mohit Chouhan,Charu Rohtagi,Vishal Nayak,Sayani Gupta,Gaurav Panjwani,Vinod Mehta,Manan Munjal,1
Prateik Babbar,Amyra Dastur,Rajeshwari Sachdev,Makrand Deshpande,Manish Tiwary,Shailesh R Singh,SachinJigar,2
Swanand Kirkire,Nora Fatehi,Shilpa Shukla,Ninad Kamat,Ritesh Menon,Prakash Jha,Sidhartha-Suhaas,2
Abhinav Shukla,Nora Fatehi,Himarsha V,Achint Kaur,Kamal Sadanah,Abis Rizvi,Ramona Arena,3
Varun Dhawan,Ileana DCruz,Nargis Fakhri,Arunoday Singh,David Dhawan,Ekta Kapoor,SajidWajid,4
Arunoday Singh,Kitu Gidwani,Raghuveer Yadav,Yashpal Sharma,Ishraq Shah,Surendra Rajiv,Tochi Raina,1
Irfan Khan,Arunoday Singh,Chitrangda Singh,Aditi Rao Hydari,Sudhir Mishra,Sudhir Mishra,Nishat Khan,1
Shreyas Talpade,Konkona Sen Sharma,Boman Irani,Arunoday Singh,Vinay Shukla,Reliance Big pictures,Monty Sharma,1
R Madhavan,Sanjay Suri,Parzan Dastur,Arunoday Singh,Piyush Jha,Sudhir Mishra,Justin-Uday,2
Imaad Shah,Nishikant Kamat,Rajwir Arora,Satish Kaushik,Prawaal Raman,Nameeta Nair,Imaad Shah,1
Abhay Deol,Gul Panag,Sarika,Raima Sen,Navdeep Singh,Ketan Maroo,Jagesh Gandhi,2
Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Sharat Saxena,Harshavardhan Kulkarni,Karan Johar,VishalShekhar,3
Avtar Gill,Mahendra Shera,Divyajoytee Sharma,Sachnaman Singh,Japinder Kaur,Sharic Sequeira ,Dhruv Dhalla ,2
Amrita Singh ,Rahul Roy ,Sheeba ,Mohnish Bahl ,Bobby Khan,Babbar Subhash,Shravan Rathod,2
Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Manjari Phadnis,Fuwad Khan,Arindam Chaudhuri,Jatin Pandit,1
Konkona Sen Sharma,Yashpal Sharma,Brinda Karat,Ankur Khanna,Shonali Bose,Shonali Bose,Nandlal Nayak,2
